state,city,station_count,mean_reported_aqi,max_reported_aqi,mean_source_confidence,mean_environmental_risk_score,dominant_city_source
Haryana,Kaithal,1,,,0.0,,Insufficient pollutant signal
Haryana,Karnal,1,493.77,493.77,33.62,63.6,Biomass / fine-particle combustion
Haryana,Kurukshetra,1,317.99,317.99,37.74,48.88,Photochemical smog
Haryana,Mandikhera,1,394.14,394.14,32.35,37.2,Photochemical smog
Haryana,Manesar,1,388.28,388.28,29.36,47.16,Photochemical smog
Haryana,Narnaul,1,304.07,304.07,27.23,27.73,Photochemical smog
Haryana,Palwal,1,481.32,481.32,24.52,48.84,Photochemical smog
Haryana,Panchgaon,1,395.4,395.4,44.24,39.04,Biomass / fine-particle combustion
Haryana,Panchkula,1,312.13,312.13,28.39,50.84,Photochemical smog
Haryana,Panipat,1,353.14,353.14,36.34,50.35,Industrial combustion
Haryana,Rohtak,1,425.28,425.28,28.63,39.28,Biomass / fine-particle combustion
Haryana,Sirsa,1,500.0,500.0,35.43,49.39,Biomass / fine-particle combustion
Haryana,Sonipat,1,388.28,388.28,44.68,43.79,Biomass / fine-particle combustion
Haryana,Yamuna Nagar,1,324.79,324.79,38.52,42.52,Biomass / fine-particle combustion
Himachal Pradesh,Baddi,1,500.0,500.0,27.64,63.89,Construction / road dust
Jammu and Kashmir,Pampore,1,,,18.78,,Construction / road dust
Jammu and Kashmir,Srinagar,2,236.15,271.3,21.71,33.71,Construction / road dust
Jharkhand,Dhanbad,1,124.81,124.81,31.96,22.57,Photochemical smog
Jharkhand,Jorapokhar,1,431.51,431.51,27.98,51.24,Biomass / fine-particle combustion
Karnataka,Bagalkot,1,341.42,341.42,20.61,33.88,Photochemical smog
Karnataka,Bengaluru,10,253.32,500.0,34.95,52.95,Vehicular traffic
Karnataka,Chamarajanagar,1,329.7,329.7,19.9,35.76,Biomass / fine-particle combustion
Karnataka,Chikkaballapur,1,347.28,347.28,19.81,36.34,Construction / road dust
Karnataka,Chikkamagaluru,1,271.3,271.3,21.47,32.79,Biomass / fine-particle combustion
Karnataka,Dharwad,1,431.51,431.51,23.34,42.61,Biomass / fine-particle combustion
Karnataka,Gadag,1,242.61,242.61,15.6,22.16,Photochemical smog
Karnataka,Hubballi,1,256.96,256.96,17.1,24.12,Photochemical smog
Karnataka,Kalaburagi,1,382.43,382.43,21.03,40.85,Biomass / fine-particle combustion
Karnataka,Karwar,1,364.85,364.85,26.13,42.61,Biomass / fine-particle combustion
Karnataka,Koppal,1,323.85,323.85,26.62,30.81,Photochemical smog
Karnataka,Madikeri,1,242.61,242.61,24.86,33.66,Biomass / fine-particle combustion
Karnataka,Mangalore,1,83.1,83.1,19.45,25.02,Photochemical smog
Karnataka,Mysuru,1,64.0,64.0,19.47,10.51,Construction / road dust
Karnataka,Ramanagara,1,335.56,335.56,25.87,40.4,Biomass / fine-particle combustion
Karnataka,Shivamogga,1,364.85,364.85,23.2,41.7,Biomass / fine-particle combustion
Karnataka,Vijayapura,1,329.7,329.7,19.97,33.27,Photochemical smog
Karnataka,Yadgir,1,213.91,213.91,20.98,25.24,Photochemical smog
Kerala,Thiruvananthapuram,1,,,0.0,,Insufficient pollutant signal
Kerala,Thrissur,1,329.7,329.7,28.43,41.85,Biomass / fine-particle combustion
Madhya Pradesh,Bhopal,3,224.81,312.13,31.12,47.8,Vehicular traffic
Madhya Pradesh,Damoh,1,323.85,323.85,21.55,35.99,Biomass / fine-particle combustion
Madhya Pradesh,Dewas,1,109.0,109.0,28.11,16.16,Photochemical smog
Madhya Pradesh,Gwalior,3,393.18,425.28,28.57,38.83,Photochemical smog
Madhya Pradesh,Indore,5,349.81,500.0,26.68,61.44,Vehicular traffic
Madhya Pradesh,Jabalpur,4,377.86,493.77,25.57,43.84,Biomass / fine-particle combustion
Madhya Pradesh,Katni,1,370.71,370.71,22.91,42.36,Biomass / fine-particle combustion
