state,city,station_count,valid_station_count,mean_reported_aqi,max_reported_aqi,mean_weather_trapping_score,mean_urban_pressure_score,mean_road_density_proxy,mean_environmental_risk_score
Haryana,Mandikhera,1,1,394.14,394.14,44.26,15.0,20.0,37.2
Haryana,Manesar,1,1,388.28,388.28,49.03,35.0,30.0,47.16
Haryana,Narnaul,1,1,304.07,304.07,41.67,15.0,20.0,27.73
Haryana,Palwal,1,1,481.32,481.32,52.71,15.0,20.0,48.84
Haryana,Panchgaon,1,1,395.4,395.4,48.4,15.0,20.0,39.04
Haryana,Panchkula,1,1,312.13,312.13,74.84,35.0,30.0,50.84
Haryana,Panipat,1,1,353.14,353.14,64.5,35.0,30.0,50.35
Haryana,Rohtak,1,1,425.28,425.28,42.3,15.0,20.0,39.28
Haryana,Sirsa,1,1,500.0,500.0,49.85,15.0,20.0,49.39
Haryana,Sonipat,1,1,388.28,388.28,61.37,15.0,20.0,43.79
Haryana,Yamuna Nagar,1,1,324.79,324.79,72.5,15.0,20.0,42.52
Himachal Pradesh,Baddi,1,1,500.0,500.0,64.2,35.0,30.0,63.89
Jammu and Kashmir,Pampore,1,0,,,72.01,15.0,20.0,
Jammu and Kashmir,Srinagar,2,2,236.15,271.3,71.17,15.0,20.0,33.71
Jharkhand,Dhanbad,1,1,124.81,124.81,69.31,15.0,20.0,22.57
Jharkhand,Jorapokhar,1,1,431.51,431.51,69.57,15.0,20.0,51.24
Karnataka,Bagalkot,1,1,341.42,341.42,48.08,15.0,20.0,33.88
Karnataka,Bengaluru,10,10,253.32,500.0,61.94,60.5,59.5,52.95
Karnataka,Chamarajanagar,1,1,329.7,329.7,55.2,15.0,20.0,35.76
Karnataka,Chikkaballapur,1,1,347.28,347.28,52.66,15.0,20.0,36.34
Karnataka,Chikkamagaluru,1,1,271.3,271.3,61.11,15.0,20.0,32.79
Karnataka,Dharwad,1,1,431.51,431.51,48.89,15.0,20.0,42.61
Karnataka,Gadag,1,1,242.61,242.61,42.04,15.0,20.0,22.16
Karnataka,Hubballi,1,1,256.96,256.96,43.52,15.0,20.0,24.12
Karnataka,Kalaburagi,1,1,382.43,382.43,55.62,15.0,20.0,40.85
Karnataka,Karwar,1,1,364.85,364.85,63.77,15.0,20.0,42.61
Karnataka,Koppal,1,1,323.85,323.85,44.63,15.0,20.0,30.81
Karnataka,Madikeri,1,1,242.61,242.61,69.6,15.0,20.0,33.66
Karnataka,Mangalore,1,1,83.1,83.1,84.48,15.0,20.0,25.02
Karnataka,Mysuru,1,1,64.0,64.0,53.98,15.0,20.0,10.51
Karnataka,Ramanagara,1,1,335.56,335.56,65.0,15.0,20.0,40.4
Karnataka,Shivamogga,1,1,364.85,364.85,61.59,15.0,20.0,41.7
Karnataka,Vijayapura,1,1,329.7,329.7,49.24,15.0,20.0,33.27
Karnataka,Yadgir,1,1,213.91,213.91,55.83,15.0,20.0,25.24
Kerala,Thiruvananthapuram,1,0,,,62.17,15.0,20.0,
Kerala,Thrissur,1,1,329.7,329.7,69.8,15.0,20.0,41.85
Madhya Pradesh,Bhopal,3,3,224.81,312.13,57.76,60.0,55.0,47.8
Madhya Pradesh,Damoh,1,1,323.85,323.85,57.05,15.0,20.0,35.99
Madhya Pradesh,Dewas,1,1,109.0,109.0,57.48,15.0,20.0,16.16
Madhya Pradesh,Gwalior,3,3,393.18,425.28,48.39,15.0,20.0,38.83
Madhya Pradesh,Indore,5,5,349.81,500.0,57.87,64.0,59.0,61.44
Madhya Pradesh,Jabalpur,4,4,377.86,493.77,63.82,15.0,20.0,43.84
Madhya Pradesh,Katni,1,1,370.71,370.71,61.86,15.0,20.0,42.36
Madhya Pradesh,Maihar,1,1,329.7,329.7,55.77,15.0,20.0,36.0
Madhya Pradesh,Mandideep,1,1,353.14,353.14,56.99,35.0,30.0,47.21
Madhya Pradesh,Pithampur,1,1,152.21,152.21,59.79,35.0,30.0,29.67
Madhya Pradesh,Sagar,1,1,406.6,406.6,54.88,15.0,20.0,42.79
Madhya Pradesh,Satna,1,1,306.27,306.27,62.3,15.0,20.0,36.54
Madhya Pradesh,Singrauli,1,1,98.0,98.0,69.63,15.0,20.0,20.21
Madhya Pradesh,Ujjain,1,1,347.28,347.28,59.69,15.0,20.0,39.27
Maharashtra,Ahmednagar,1,1,242.61,242.61,54.97,15.0,20.0,27.56
Maharashtra,Akola,1,1,285.65,285.65,45.46,15.0,20.0,27.6
Maharashtra,Ambernath,1,1,242.61,242.61,61.09,15.0,20.0,30.11
Maharashtra,Amravati,2,2,260.09,306.27,53.61,15.0,20.0,28.62
Maharashtra,Aurangabad,3,3,404.04,500.0,55.31,26.67,41.67,49.68
Maharashtra,Badlapur,1,1,312.13,312.13,63.99,15.0,20.0,37.79
Maharashtra,Beed,1,1,256.96,256.96,55.54,15.0,20.0,29.13
Maharashtra,Belapur,1,1,285.65,285.65,60.94,15.0,20.0,34.06
Maharashtra,Bhiwandi,1,1,228.26,228.26,67.23,15.0,20.0,31.34
Maharashtra,Boisar,1,1,285.65,285.65,72.41,15.0,20.0,38.84
Maharashtra,Chandrapur,2,2,465.76,500.0,56.23,25.0,25.0,53.12
Maharashtra,Dombivli,1,1,242.61,242.61,59.15,15.0,20.0,29.3
Maharashtra,Hingoli,1,1,187.47,187.47,55.91,15.0,20.0,22.82
Maharashtra,Jalna,1,1,213.91,213.91,55.62,35.0,30.0,33.68
Maharashtra,Kalyan,2,1,437.74,437.74,65.09,15.0,20.0,51.62
Maharashtra,Kolhapur,2,2,162.4,174.94,58.12,15.0,20.0,21.4
Maharashtra,Latur,1,1,228.26,228.26,54.61,15.0,20.0,26.07
