station_id,station_name,city,state,lat,lon,timestamp,snapshot_fetch_time,PM2.5,PM10,NO2,SO2,CO,O3,NH3,aqi,aqi_category,dominant_pollutant,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant,weather_time,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,surface_pressure,cloud_cover,weather_trapping_score,weather_trapping_category,weather_data_available,geo_region_proxy,landuse_type_proxy,landuse_data_source,urban_pressure_score,urban_pressure_category,road_density_proxy,road_density_category,road_density_data_source,geospatial_data_level,environmental_risk_score,environmental_risk_category,notebook_02_processed_time
andhra_pradesh__tirumala__toll_gate_tirumala_appcb,"Toll Gate, Tirumala - APPCB",Tirumala,Andhra Pradesh,13.67,79.35,2026-07-16 05:00:00,2026-07-16 05:38:19,44.0,68.0,66.0,7.0,7.0,21.0,3.0,162.41,Moderate,CO,True,Valid AQI,162.41,Moderate,CO,2026-07-16T10:30,28.7,39,0.0,0.0,14.0,290,910.3,99,56.5,Moderate trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,20.73,Low,2026-07-16 10:51:20
andhra_pradesh__tirupati__vaikuntapuram_tirupati_appcb,"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,13.615387,79.40923,2026-07-16 05:00:00,2026-07-16 05:38:19,60.0,72.0,38.0,18.0,21.0,35.0,5.0,323.85,Very Poor,CO,True,Valid AQI,323.85,Very Poor,CO,2026-07-16T10:30,34.4,35,0.0,0.0,10.3,281,991.5,98,61.63,High trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,37.9,Moderate,2026-07-16 10:51:20
andhra_pradesh__vijayawada__hb_colony_vijayawada_appcb,"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.536107,80.594233,2026-07-16 05:00:00,2026-07-16 05:38:19,66.0,67.0,15.0,12.0,34.0,16.0,3.0,400.0,Very Poor,CO,True,Valid AQI,400.0,Very Poor,CO,2026-07-16T10:30,31.0,61,0.0,0.0,15.2,296,1004.7,100,62.52,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,45.36,Moderate,2026-07-16 10:51:20
andhra_pradesh__vijayawada__kanuru_vijayawada_appcb,"Kanuru, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.486692,80.699436,2026-07-16 05:00:00,2026-07-16 05:38:19,61.0,60.0,26.0,14.0,20.0,20.0,4.0,317.99,Very Poor,CO,True,Valid AQI,317.99,Very Poor,CO,2026-07-16T10:30,32.0,55,0.0,0.0,16.6,296,1005.2,100,57.78,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,35.75,Moderate,2026-07-16 10:51:20
andhra_pradesh__vijayawada__rajiv_gandhi_park_vijayawada_appcb,"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.509717,80.612222,2026-07-16 05:00:00,2026-07-16 05:38:19,61.0,69.0,25.0,11.0,47.0,22.0,5.0,481.32,Severe,CO,True,Valid AQI,481.32,Severe,CO,2026-07-16T10:30,31.4,59,0.0,0.0,16.9,297,1004.2,100,58.7,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,51.34,High,2026-07-16 10:51:20
andhra_pradesh__vijayawada__rajiv_nagar_vijayawada_appcb,"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.554731,80.64911,2026-07-16 05:00:00,2026-07-16 05:38:19,65.0,67.0,17.0,15.0,28.0,17.0,4.0,364.85,Very Poor,CO,True,Valid AQI,364.85,Very Poor,CO,2026-07-16T10:30,31.5,57,0.0,0.0,15.1,295,1004.8,100,61.23,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,41.55,Moderate,2026-07-16 10:51:20
andhra_pradesh__visakhapatnam__gvm_corporation_visakhapatnam_appcb,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.72,83.3,2026-07-16 05:00:00,2026-07-16 05:38:19,67.0,140.0,93.0,34.0,12.0,6.0,4.0,228.26,Poor,CO,True,Valid AQI,228.26,Poor,CO,2026-07-16T10:30,32.3,52,0.0,0.0,5.7,235,1002.6,100,76.4,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,35.16,Moderate,2026-07-16 10:51:20
assam__byrnihat__central_academy_for_sfs_byrnihat_pcba,"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,26.071318,91.87488,2026-07-16 05:00:00,2026-07-16 05:38:19,79.0,75.0,7.0,31.0,50.0,21.0,4.0,500.0,Severe,CO,True,Valid AQI,500.0,Severe,CO,2026-07-16T10:30,32.0,73,0.0,0.0,4.0,342,995.7,64,83.6,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,63.47,High,2026-07-16 10:51:20
assam__guwahati__iitg_guwahati_pcba,"IITG, Guwahati - PCBA",Guwahati,Assam,26.2028636,91.70046436,2026-07-16 05:00:00,2026-07-16 05:38:19,16.0,16.0,2.0,41.0,7.0,1.0,5.0,162.41,Moderate,CO,True,Valid AQI,162.41,Moderate,CO,2026-07-16T10:30,30.8,81,0.1,0.0,4.5,203,998.4,84,87.64,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,33.72,Moderate,2026-07-16 10:51:20
assam__guwahati__lgbi_airport_guwahati_pcba,"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,26.10887,91.589544,2026-07-16 05:00:00,2026-07-16 05:38:19,46.0,36.0,15.0,11.0,35.0,35.0,4.0,406.6,Severe,CO,True,Valid AQI,406.6,Severe,CO,2026-07-16T10:30,29.3,86,0.2,0.1,3.3,167,998.6,84,85.4,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,55.52,High,2026-07-16 10:51:20
