station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,NH3_sub_index,aqi,dominant_pollutant,aqi_category,snapshot_fetch_time,station_id,valid_pollutant_count,has_particulate,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant
"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.509717,80.612222,2026-07-16 05:00:00,61.0,69.0,25.0,11.0,47.0,22.0,5.0,101.0,69.0,31.25,13.75,481.32,22.0,1.25,481.32,CO,Severe,2026-07-16 05:38:19,andhra_pradesh__vijayawada__rajiv_gandhi_park_vijayawada_appcb,7,True,True,Valid AQI,481.32,Severe,CO
"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.554731,80.64911,2026-07-16 05:00:00,65.0,67.0,17.0,15.0,28.0,17.0,4.0,114.66,67.0,21.25,18.75,364.85,17.0,1.0,364.85,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__vijayawada__rajiv_nagar_vijayawada_appcb,7,True,True,Valid AQI,364.85,Very Poor,CO
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.72,83.3,2026-07-16 05:00:00,67.0,140.0,93.0,34.0,12.0,6.0,4.0,121.48,126.91,113.0,42.5,228.26,6.0,1.0,228.26,CO,Poor,2026-07-16 05:38:19,andhra_pradesh__visakhapatnam__gvm_corporation_visakhapatnam_appcb,7,True,True,Valid AQI,228.26,Poor,CO
"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,26.071318,91.87488,2026-07-16 05:00:00,79.0,75.0,7.0,31.0,50.0,21.0,4.0,162.45,75.0,8.75,38.75,500.0,21.0,1.0,500.0,CO,Severe,2026-07-16 05:38:19,assam__byrnihat__central_academy_for_sfs_byrnihat_pcba,7,True,True,Valid AQI,500.0,Severe,CO
"IITG, Guwahati - PCBA",Guwahati,Assam,26.2028636,91.70046436,2026-07-16 05:00:00,16.0,16.0,2.0,41.0,7.0,1.0,5.0,26.67,16.0,2.5,51.0,162.41,1.0,1.25,162.41,CO,Moderate,2026-07-16 05:38:19,assam__guwahati__iitg_guwahati_pcba,7,True,True,Valid AQI,162.41,Moderate,CO
"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,26.10887,91.589544,2026-07-16 05:00:00,46.0,36.0,15.0,11.0,35.0,35.0,4.0,76.34,36.0,18.75,13.75,406.6,35.0,1.0,406.6,CO,Severe,2026-07-16 05:38:19,assam__guwahati__lgbi_airport_guwahati_pcba,7,True,True,Valid AQI,406.6,Severe,CO
"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,2026-07-16 05:00:00,186.0,173.0,0.0,35.0,23.0,11.0,1.0,350.88,148.84,0.0,43.75,335.56,11.0,0.25,350.88,PM2.5,Very Poor,2026-07-16 05:38:19,assam__guwahati__pan_bazaar_guwahati_pcba,7,True,True,Valid AQI,350.88,Very Poor,PM2.5
"Railway Colony, Guwahati - PCBA",Guwahati,Assam,26.181742,91.78063,2026-07-16 05:00:00,22.0,24.0,3.0,49.0,15.0,23.0,1.0,36.67,24.0,3.75,61.05,271.3,23.0,0.25,271.3,CO,Poor,2026-07-16 05:38:19,assam__guwahati__railway_colony_guwahati_pcba,7,True,True,Valid AQI,271.3,Poor,CO
"Christianpatty, Nagaon - PCBA",Nagaon,Assam,26.349082,92.68449,2026-07-16 05:00:00,62.0,55.0,1.0,12.0,22.0,11.0,4.0,104.41,55.0,1.25,15.0,329.7,11.0,1.0,329.7,CO,Very Poor,2026-07-16 05:38:19,assam__nagaon__christianpatty_nagaon_pcba,7,True,True,Valid AQI,329.7,Very Poor,CO
"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,26.446912,91.439057,2026-07-16 05:00:00,63.0,46.0,14.0,8.0,21.0,19.0,6.0,107.83,46.0,17.5,10.0,323.85,19.0,1.5,323.85,CO,Very Poor,2026-07-16 05:38:19,assam__nalbari__bata_chowk_nalbari_pcba,7,True,True,Valid AQI,323.85,Very Poor,CO
"Tarapur, Silchar - PCBA",Silchar,Assam,24.82827,92.79525,2026-07-16 05:00:00,25.0,55.0,19.0,5.0,32.0,4.0,1.0,41.67,55.0,23.75,6.25,388.28,4.0,0.25,388.28,CO,Very Poor,2026-07-16 05:38:19,assam__silchar__tarapur_silchar_pcba,7,True,True,Valid AQI,388.28,Very Poor,CO
"Girls College, Sivasagar - PCBA",Sivasagar,Assam,26.987634,94.636574,2026-07-16 05:00:00,15.0,21.0,12.0,7.0,19.0,29.0,6.0,25.0,21.0,15.0,8.75,312.13,29.0,1.5,312.13,CO,Very Poor,2026-07-16 05:38:19,assam__sivasagar__girls_college_sivasagar_pcba,7,True,True,Valid AQI,312.13,Very Poor,CO
"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,26.146529,87.454184,2026-07-16 05:00:00,23.0,23.0,15.0,21.0,20.0,38.0,4.0,38.33,23.0,18.75,26.25,317.99,38.0,1.0,317.99,CO,Very Poor,2026-07-16 05:38:19,bihar__araria__kharahiya_basti_araria_bspcb,7,True,True,Valid AQI,317.99,Very Poor,CO
"New DM Office, Arrah - BSPCB",Arrah,Bihar,25.5626095,84.663264,2026-07-16 05:00:00,37.0,33.0,7.0,5.0,48.0,8.0,2.0,61.14,33.0,8.75,6.25,487.55,8.0,0.5,487.55,CO,Severe,2026-07-16 05:38:19,bihar__arrah__new_dm_office_arrah_bspcb,7,True,True,Valid AQI,487.55,Severe,CO
"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,Bihar,24.75746,84.366208,2026-07-16 05:00:00,,,8.0,8.0,103.0,7.0,2.0,,,10.0,10.0,500.0,7.0,0.5,500.0,CO,Severe,2026-07-16 05:38:19,bihar__aurangabad__gurdeo_nagar_aurangabad_bspcb,5,False,False,Insufficient pollutants,,Unknown,
"Lohiyanagar, Begusarai - BSPCB",Begusarai,Bihar,25.42742023,86.13886079,2026-07-16 05:00:00,33.0,37.0,9.0,18.0,17.0,40.0,16.0,54.38,37.0,11.25,22.5,300.0,40.0,4.0,300.0,CO,Poor,2026-07-16 05:38:19,bihar__begusarai__lohiyanagar_begusarai_bspcb,7,True,True,Valid AQI,300.0,Poor,CO
"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,Bihar,26.80365,84.51954,2026-07-16 05:00:00,,,,14.0,29.0,22.0,,,,,17.5,370.71,22.0,,370.71,CO,Very Poor,2026-07-16 05:38:19,bihar__bettiah__kamalnath_nagar_bettiah_bspcb,3,False,False,Insufficient pollutants,,Unknown,
