state,city,stations,mean_current_aqi,max_current_aqi,mean_forecast_aqi,max_forecast_aqi,mean_priority_score,max_priority_score,current_hotspot_stations,forecast_hotspot_stations,emerging_hotspot_stations,mean_health_exposure_risk,mean_dispersion_index,mean_satellite_aerosol_proxy,city_priority_rank
Rajasthan,Jalore,1,256.96,256.96,284.35,284.35,31.74,31.74,1,1,1,33.52,29.9,19.84,209
Maharashtra,Pimpri-Chinchwad,6,295.35,431.51,299.2,413.41,31.64,45.83,3,3,0,31.84,43.49,13.58,210
Rajasthan,Sikar,1,242.61,242.61,260.89,260.89,31.28,31.28,1,1,0,33.2,27.58,24.82,211
Andhra Pradesh,Tirumala,1,162.41,162.41,192.24,192.24,31.06,31.06,0,0,1,25.83,43.76,30.18,212
Maharashtra,Akola,1,285.65,285.65,303.76,303.76,30.99,30.99,1,1,0,36.08,19.8,19.71,213
Bihar,Samastipur,1,124.81,124.81,134.72,134.72,30.82,30.82,0,0,0,22.12,71.87,18.72,214
Maharashtra,Amravati,2,260.09,306.27,271.58,310.09,30.56,34.4,2,2,0,32.64,33.56,15.48,215
Maharashtra,Ahmednagar,1,242.61,242.61,266.22,266.22,30.56,30.56,1,1,0,31.09,37.48,14.67,215
Rajasthan,Chittorgarh,1,137.34,137.34,161.46,161.46,30.4,30.4,0,0,0,24.71,46.94,31.71,216
Jharkhand,Dhanbad,1,124.81,124.81,142.91,142.91,29.71,29.71,0,0,0,19.09,59.29,27.8,217
Maharashtra,Parbhani,1,228.26,228.26,227.86,227.86,29.7,29.7,1,1,0,29.71,36.29,21.09,218
Tamil Nadu,Coimbatore,1,187.47,187.47,192.77,192.77,29.56,29.56,0,0,0,26.49,47.82,20.18,219
