station_id,station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,reported_aqi,reported_aqi_category,reported_dominant_pollutant,aqi_is_valid,aqi_quality_flag,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,weather_trapping_score,weather_trapping_category,landuse_type_proxy,landuse_data_source,urban_pressure_score,road_density_proxy,environmental_risk_score,pm10_pm25_ratio,pm25_pm10_ratio,no2_co_ratio,o3_no2_ratio,source_score_vehicular_traffic,source_score_industrial_combustion,source_score_construction__road_dust,source_score_biomass__fine_particle_combustion,source_score_photochemical_smog,primary_pollution_source,primary_source_score,secondary_source_score,source_score_gap,source_attribution_confidence,source_attribution_confidence_category,source_evidence,landuse_source_alignment,recommended_intervention,notebook_03_processed_time,forecast_reference_timestamp,forecast_aqi_next,forecast_aqi_p10,forecast_aqi_p50,forecast_aqi_p90,forecast_category,current_aqi,current_aqi_category,forecast_aqi_category,forecast_aqi_change,forecast_trend,satellite_aerosol_proxy_score,satellite_aerosol_proxy_category,satellite_data_source,dispersion_index,dispersion_category,health_exposure_risk_score,health_exposure_risk_category,forecast_hotspot_risk_score,forecast_hotspot_risk_category,intervention_urgency_score,intervention_urgency_category,is_current_hotspot,is_forecast_hotspot,is_emerging_hotspot,hotspot_status,advanced_priority_score,advanced_priority_category,advanced_priority_rank,advanced_data_quality_flag,advanced_layer_note
uttar_pradesh__meerut__miet_college_meerut_uppcb,"MIET College, Meerut - UPPCB",Meerut,Uttar Pradesh,28.972677,77.641018,2026-07-16 05:00:00,262.0,158.0,33.0,7.0,44.0,7.0,8.0,462.64,Severe,CO,True,Valid AQI,33.6,62,0.0,9.0,4,64.51,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,52.02,0.6030534351145038,1.6582278481012658,0.75,0.2121212121212121,16.74,14.58,29.51,67.22,35.53,Biomass / fine-particle combustion,67.22,35.53,31.69,56.56,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,475.6348430220259,425.06111331227567,475.6348430220259,500.0,Severe,462.64,Severe,Severe,12.994843022025918,Stable,65.56,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,50.36,Moderate,88.17,Critical,78.09,High,73.06,High,1,1,0,Critical forecast hotspot,74.32,High,1,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
assam__guwahati__pan_bazaar_guwahati_pcba,"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,2026-07-16 05:00:00,186.0,173.0,0.0,35.0,23.0,11.0,1.0,350.88,Very Poor,PM2.5,True,Valid AQI,31.4,75,0.0,2.9,99,89.83,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,52.18,0.9301075268817204,1.0751445086705202,0.0,,4.27,16.81,28.81,58.57,24.34,Biomass / fine-particle combustion,58.57,28.81,29.76,49.93,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,,350.88,350.88,350.88,350.88,,350.88,Very Poor,Very Poor,0.0,Stable,60.25,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,94.26,Critical,76.07,High,69.65,High,74.62,High,1,1,0,Critical forecast hotspot,74.19,High,2,Forecast unavailable; current AQI used as fallback,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__khora__prashant_garden_khora_uppcb,"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,28.61119,77.34206,2026-07-16 05:00:00,247.0,150.0,33.0,11.0,102.0,6.0,11.0,500.0,Severe,CO,True,Valid AQI,36.4,40,0.0,9.6,5,55.43,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,51.71,0.6072874493927125,1.6466666666666667,0.3235294117647059,0.1818181818181818,28.0,24.58,28.93,74.4,38.9,Biomass / fine-particle combustion,74.4,38.9,35.5,62.73,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,488.8216427820324,438.2479130722822,488.8216427820324,500.0,Severe,500.0,Severe,Severe,-11.178357217967571,Stable,68.2,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,38.45,Low,89.84,Critical,77.98,High,71.68,High,1,1,0,Critical forecast hotspot,73.22,High,3,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__muzaffarnagar__new_mandi_muzaffarnagar_uppcb,"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,Uttar Pradesh,29.4723508,77.7194031,2026-07-16 05:00:00,125.0,148.0,31.0,24.0,44.0,16.0,3.0,462.64,Severe,CO,True,Valid AQI,33.4,66,0.0,5.2,14,73.85,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,55.92,1.184,0.8445945945945946,0.7045454545454546,0.5161290322580645,16.23,20.85,27.49,49.99,35.79,Biomass / fine-particle combustion,49.99,35.79,14.2,39.25,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,491.1634901528048,440.58976044305456,491.1634901528048,500.0,Severe,462.64,Severe,Severe,28.52349015280481,Increasing,49.64,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,65.87,High,80.41,Critical,80.37,Critical,71.34,High,1,1,1,Critical forecast hotspot,72.69,High,4,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__raebareli__anand_nagar_raebareli_uppcb,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,26.219512,81.237648,2026-07-16 05:00:00,67.0,132.0,16.0,14.0,62.0,55.0,11.0,500.0,Severe,CO,True,Valid AQI,33.9,61,0.0,8.5,99,74.54,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,59.69,1.9701492537313432,0.5075757575757576,0.2580645161290322,3.4375,15.91,17.04,28.3,44.31,35.78,Biomass / fine-particle combustion,44.31,35.78,8.53,33.58,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.9994461780309,449.4257164682807,499.9994461780309,500.0,Severe,500.0,Severe,Severe,-0.0005538219691061,Stable,43.89,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,70.82,High,77.77,High,80.89,Critical,70.54,High,1,1,0,Critical forecast hotspot,71.94,High,5,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
