feature,importance
city_Baripada,4.752074195793075e-07
city_Bareilly,4.497305595920854e-07
city_Ajmer,4.471788129255696e-07
city_Prayagraj,4.4646987748604315e-07
city_Vrindavan,4.442458186541604e-07
city_Gurugram,4.284620120537279e-07
city_Moradabad,4.198996516281714e-07
city_Meerut,4.194321959102293e-07
city_Latur,4.1699665128095513e-07
city_Jodhpur,4.118958063561804e-07
city_Nagaur,4.0056974362796224e-07
city_Angul,3.8956876026728867e-07
city_Khairthal,3.4524903743838275e-07
city_Samastipur,3.38334997618554e-07
city_Gaya,3.192177778305468e-07
city_Hingoli,2.987815646884465e-07
city_Bahadurgarh,2.8722921651499844e-07
city_Churu,2.697062472274415e-07
city_Kota,2.656800456566854e-07
city_Hubballi,2.537010156779475e-07
city_Bulandshahr,2.318814826647418e-07
city_Khanna,2.2606941266646198e-07
city_Milupara,2.260676129310366e-07
city_Vijayawada,2.0167394425242529e-07
city_Panipat,2.0020225046131004e-07
state_Punjab,1.9925797285929174e-07
city_Patna,1.9530099179800692e-07
city_Parbhani,1.9282161469298876e-07
city_Banswara,1.7920559468024947e-07
city_Jhunjhunu,1.769765930621519e-07
city_Ankleshwar,1.6488539370820428e-07
city_Tonk,1.5066785351523487e-07
city_Kurukshetra,1.432931261850525e-07
city_Bhiwani,1.4174558075091008e-07
city_Gadag,1.3854515988209066e-07
city_Malegaon,1.360549266869323e-07
city_Vijayapura,1.2719360479023117e-07
city_Sangli,1.200549787905528e-07
state_Jammu and Kashmir,1.1359625226631771e-07
city_Guwahati,1.11599821155905e-07
city_Rourkela,1.113301548747171e-07
state_Uttarakhand,1.1090044536782164e-07
city_Maihar,1.1049844592387064e-07
city_Dehradun,1.0775731226139301e-07
city_Baran,1.0510765097546189e-07
city_Beed,1.0367459822330861e-07
city_Baghpat,9.47047977335645e-08
city_Sawai Madhopur,9.036945809613704e-08
city_Sivasagar,8.739297649639356e-08
city_Fatehabad,8.687778677235067e-08
city_Bhubaneswar,8.653454684893515e-08
city_Raipur,8.12065344204373e-08
city_Kurnool,7.42864936234712e-08
state_Mizoram,7.42624092500156e-08
city_Ahmednagar,6.793812119608492e-08
city_Pithampur,6.728413545946731e-08
city_Chittorgarh,6.701801135522788e-08
city_Sagar,6.601697779127475e-08
city_Aizawl,6.419614940965829e-08
state_Chandigarh,5.879244926302068e-08
city_Tirumala,5.7458960816513866e-08
city_Satna,5.6285758084919196e-08
state_Sikkim,5.618899377165649e-08
city_Balasore,5.3272985614212715e-08
city_Charkhi Dadri,5.312514679140483e-08
city_Greater Noida,5.1518801735197347e-08
city_Keonjhar,5.091836560640901e-08
state_Tripura,5.042937232109387e-08
city_Bhiwadi,5.011557198146184e-08
city_Vatva,4.903984636514304e-08
city_Karwar,4.892124936310859e-08
city_Agartala,4.755756223382619e-08
city_Amravati,4.6290557102661546e-08
city_Panchgaon,4.423962199617919e-08
city_Munger,4.255343992838921e-08
state_Puducherry,4.21817235929701e-08
city_Chandigarh,3.839654689381825e-08
city_Gandhinagar,3.8201138279056305e-08
city_Bhagalpur,3.70998688096717e-08
city_Arrah,3.644567042684239e-08
city_Saharsa,3.396984161249215e-08
city_Bilaspur,3.332661567467394e-08
city_Suakati,3.208834843135163e-08
city_Jhansi,3.1547022524940475e-08
city_Coimbatore,3.1007111480973e-08
city_Bileipada,2.9240556474626635e-08
city_Kunjemura,2.9087041161980014e-08
city_Bikaner,2.3194969860084746e-08
city_Kishanganj,2.2005832981936323e-08
city_Mathura,2.0728413036061066e-08
city_Madikeri,2.065810544538405e-08
city_Gwalior,2.0555391973963107e-08
city_Nagaon,2.027510984337067e-08
city_Yamuna Nagar,2.002958340034125e-08
city_Kalaburagi,1.9889441440766957e-08
city_Pratapgarh,1.985268112819495e-08
reported_dominant_pollutant_SO2,1.9725496107701783e-08
city_Ulhasnagar,1.9030976082275965e-08
city_Anantapur,1.834918781551327e-08
city_Ramanagara,1.6280351031162177e-08
city_Barbil,1.5905520586547333e-08
city_Jorapokhar,1.4780227726474803e-08
city_Mira-Bhayandar,1.4223601003128969e-08
city_Gangtok,1.2967134060146366e-08
city_Barmer,1.2940418968864114e-08
city_Rajgir,1.2905054433120283e-08
city_Begusarai,1.2796901078418056e-08
city_Mandikhera,1.2699954351668237e-08
city_Gorakhpur,1.213162671557174e-08
city_Thrissur,1.1746793161294933e-08
city_Vapi,1.1508403100115172e-08
city_Jind,1.1095902841782401e-08
city_Brajrajnagar,1.0321843095910792e-08
city_Barrackpore,1.0180145170830405e-08
city_Koppal,9.7305542171004e-09
city_Haldia,9.477117505911298e-09
city_Rairangpur,9.473060900728468e-09
city_Dungarpur,9.173283797161755e-09
city_Rohtak,8.73614755367341e-09
city_Mandideep,8.234463993796208e-09
city_Machilipatnam,7.997880186566013e-09
city_Amritsar,7.392393966682227e-09
city_Manesar,7.299179004866647e-09
city_Nellore,7.231860375718259e-09
city_Bharatpur,6.840263589867861e-09
city_Mysuru,6.090265958464626e-09
city_Karnal,5.578499387215641e-09
city_Karauli,5.198499754152307e-09
city_Dharwad,4.8718817093664135e-09
city_Akola,4.26811329766163e-09
city_Belapur,3.922604427823835e-09
city_Eluru,3.789174929287661e-09
city_Guntur,3.597889571523201e-09
city_Ujjain,3.573799468169125e-09
city_Nanded,3.3385654212506345e-09
city_Dombivli,2.6438193392397785e-09
city_Panchkula,2.3585502074461127e-09
city_Kashipur,2.2367750307816586e-09
city_Chikkaballapur,2.1054826978437354e-09
city_Araria,2.042499751156731e-09
state_Kerala,2.018167488823976e-09
city_Chamarajanagar,1.9901211962919653e-09
city_Jalore,1.3626509387710258e-09
city_Silchar,9.671449017485107e-10
city_Jalandhar,9.334443356902795e-10
city_Rajamahendravaram,7.682831351966304e-10
city_Tirupati,7.337823912330384e-10
city_Hanumangarh,5.716406466931732e-10
state_Nagaland,5.029836104973656e-10
city_Ratlam,1.8906215248660822e-10
city_Raebareli,3.855495726255465e-18
city_Ballabgarh,1.5582399260030678e-18
city_Vadodara,1.3739384855151927e-18
state_Himachal Pradesh,1.3527668887287642e-18
city_Hisar,1.345976722446046e-18
city_Baddi,7.283907193483691e-19
city_Muzaffarnagar,6.795416745793301e-19
city_Rishikesh,3.270875748565849e-19
city_Dharuhera,2.2034011460961604e-19
city_Mandi Gobindgarh,1.2932462656276552e-19
city_Kalyan,2.357789293152791e-20
city_Shivamogga,1.4851422086591364e-20
city_Kohima,3.606242261023527e-21
reported_dominant_pollutant_O3,0.0
has_particulate,0.0
aqi_is_valid,0.0
city_Kadapa,0.0
city_Jaisalmer,0.0
city_Jalna,0.0
city_Jhalawar,0.0
city_Hajipur,0.0
city_Purnia,0.0
city_Pampore,0.0
city_Patiala,0.0
city_Chhal,0.0
city_Mehsana,0.0
city_Ludhiana,0.0
city_Chhapra,0.0
city_Bhavnagar,0.0
city_Bathinda,0.0
city_Bhilwara,0.0
city_Bihar Sharif,0.0
city_Puducherry,0.0
city_Singrauli,0.0
city_Sonipat,0.0
city_Rajkot,0.0
city_Rupnagar,0.0
city_Siliguri,0.0
city_Talcher,0.0
city_Ambala,0.0
city_Tumidih,0.0
city_Alwar,0.0
is_weekend,0.0
month,0.0
aqi_lag_24,0.0
aqi_lag_12,0.0
city_Visakhapatnam,0.0
reported_dominant_pollutant_NO2,0.0
